YEAR,Qp,PPT2,ENSOS
1945,10700,5.03,0.8
1946,5260,1.56,-1.58
1947,6520,4.9,1.1
1948,424,1.88,-0.76
1949,1580,3.99,0.17
1950,22100,5.64,0.63
1951,976,4.34,-1.17
1952,5270,2.67,-0.24
1953,5700,1.59,-1.35
1954,10600,0.89,0.17
1955,2800,0.81,1.4
1956,589,0,0.06
1957,2920,3.95,-1.01
1958,7440,4.78,-0.34
1959,4240,1.13,-0.01
1960,10600,4.93,0.65
1961,6880,2.03,0.11
1962,810,2.36,0.53
1963,1910,3.15,-0.6
1964,4970,1.66,1.29
1965,1480,0.49,-1.41
1966,3320,3.71,-0.24
1967,2520,2.22,0.44
1968,5360,2.97,-0.36
1969,4780,1.14,-1.1
1970,3690,1.88,1.18
1971,3220,3.91,1.51
1972,4030,3.56,-1.48
1973,6710,3.51,1.27
1974,5680,2.9,1.16
1975,3560,0.78,2.15
1976,4060,4.77,-1.29
1977,2930,3.8,-0.95
1978,4860,6.25,0.06
1979,4490,3.73,0.11
1980,3320,1.75,-0.54
1981,6580,5.89,0.52
1982,4540,5.73,-2.12
1983,5990,2.51,0.91
1984,1430,1.02,0.17
1985,7920,2.84,0
1986,4150,4.57,-0.53
1987,4380,7.55,-1.13
1988,5950,0.6,1.92
1989,12400,1.56,0.52
1990,3120,2.33,-0.78
1991,5070,0.13,-1.64
1992,7540,2.27,0.06
1993,5690,1.37,-0.78
1994,4270,0.47,-1.7
1995,10700,2.03,0.28
1996,3190,5.5,0.66
1997,4890,3.54,-1.55
1998,9150,1.8,1.04
1999,12500,2.76,-0.07
2000,6330,3.23,0.97
2001,15400,4.3,0.11
2002,5020,2.04,-0.66
2003,8660,6.26,-0.18
2004,12200,0.82,-0.31
2005,8250,7.1,0.34
2006,7740,0.03,-0.6
2007,9440,6.3,0.12
2008,12700,12.13,1.26
2009,12200,2.68,0.35
2010,8410,2.7,2.44
2011,1520,0.06,1.14
2012,7940,2.48,0.22
2013,4730,3.44,0.41
2014,7650,5.04,-0.66
2015,8750,13.4,-1.65
2016,14500,1.21,1.28
2017,31500,10.36,0.62
